transaction_id,transaction_amount,transaction_date,transaction_type,merchant_location,currency,merchant_id,merchant_category,payment_method,customer_id,customer_age,customer_gender,purchase_history,monthly_spending_avg,credit_limit,current_balance,ip_address,device_used,transaction_frequency,is_fraud
1389,100.0,2024-01-23 20:39:32,in_store,Lake Donna,EUR,96971,electronics,contactless,5205,44.0,Female,8,412.01,13047,1956.78,67.20.93.223,mobile,2,1
23946,,2024-01-05 11:06:51,online,West Kariburgh,usd,88047,restaurants,contactless,3035,55.0,Male,5,928.38,9140,19716.77,182.126.136.76,mobile,5,0
8296,1000.0,2024-01-14 13:36:11,online,East Kimberly,USD,88312,groceries,chip,9982,50.0,Female,14,358.88,2724,6749.39,179.9.25.40,desktop,7,1
28145,836.010919100131,2024-01-26 03:15:20,withdrawal,Janeborough,USD,92701,Electronics,chip,5327,,Female,6,236.92,7267,6945.33,129.174.89.31,mobile,2,0
14861,54.17990548903373,2024-01-23 20:02:05,in_store,Lake Jessicaberg,EUR,89010,Electronics,contactless,3078,35.0,Male,9,258.8,17564,18247.69,26.125.0.149,mobile,5,0
17402,,2024-01-24 17:56:19,in_store,Emilychester,US,60984,travel,chip,6930,28.0,FEMALE,10,245.31,7445,14317.64,48.38.244.122,Phone,4,1
4851,8495.724782070563,2024-01-13 09:44:03,in_store,Jonesview,GBP,32060,restaurants,chip,9073,35.0,Male,11,466.17,1890,,10.196.60.192,desktop,4,0
853,1500.0,2024-01-12 00:39:20,online,Palmerland,USD,39059,restaurants,chip,5475,27.0,Male,7,514.37,8341,9453.96,8.162.129.196,desktop,3,1
25874,484.11935235848694,2024-01-08 23:10:10,online,,gbp,72787,electronics,chip,2815,43.0,Female,11,420.54,8199,2891.85,88.233.109.150,mobile,5,0
17287,,2024-01-21 05:22:37,in_store,Lake Chloemouth,USD,60705,groceries,magnetic_stripe,6987,,Female,5,516.09,13451,643.99,163.175.81.24,desktop,4,1
18836,48.19812386589951,2024-01-12 17:43:24,online,West Scottfort,GBP,81719,restaurants,chip,6629,22.0,Male,11,121.73,12085,,161.149.73.232,Phone,6,0
27562,49465.67083529911,2024-01-07 03:46:36,online,East Justin,USD,64036,travel,contactless,7789,34.0,M,11,516.15,17633,2610.73,186.128.147.219,TAB,2,0
20089,1000.0,2024-01-25 03:01:52,online,Teresahaven,USD,65127,groceries,contactless,3266,32.0,FEMALE,15,769.03,2885,17315.81,51.35.39.103,mobile,4,1
16657,2834.2146396139565,2024-01-09 04:59:56,online,Port Chadview,EUR,49126,restaurants,chip,1871,36.0,Male,14,291.57,18075,12246.98,58.193.146.224,mobile,4,0
15215,2158.1426065143664,2024-01-16 02:36:34,withdrawal,New Brandonshire,US,62865,restaurants,chip,9360,29.0,Male,12,176.57,8150,16246.88,46.114.32.89,mobile,4,0
13621,500.0,2024-01-10 11:20:22,in_store,Robertland,USD,57929,electronics,chip,2451,42.0,Male,12,530.35,11849,13749.78,24.25.106.146,desktop,8,1
10753,210.0801520941389,2024-01-10 22:46:29,online,North Calebport,USD,50362,electronics,contactless,4627,36.0,Male,11,171.3,8883,18351.84,207.64.225.107,mobile,7,0
4247,38.555796849945644,2024-01-01 07:11:09,online,Gregoryfort,EUR,64980,groceries,chip,2961,27.0,Male,6,432.16,13989,13416.99,81.132.24.216,mobile,2,0
12552,629.589373453229,2024-01-09 06:09:00,online,Lake John,usd,52121,travel,contactless,6330,28.0,M,13,487.39,2258,9079.09,174.67.21.97,desktop,7,0
25949,1413.1399962719536,2024-01-24 12:04:58,in_store,Bridgetside,EUR,84933,restaurants,chip,2681,,Male,14,449.27,15989,3511.55,98.52.144.171,Phone,5,0
22436,1800.9110408730094,2024-01-28 13:22:36,in_store,East Brianmouth,USD,52958,electronics,contactless,5567,18.0,Female,7,302.42,8451,889.07,63.26.222.142,mobile,4,0
14104,768.5230970456101,2024-01-03 16:53:22,online,Emilytown,EUR,97879,restaurants,chip,1124,32.0,Male,5,217.26,11975,10805.45,190.45.178.67,mobile,5,0
11984,1119.944543561217,2024-01-24 14:30:07,online,Lake Jonathanmouth,USD,60783,restaurants,magnetic_stripe,2410,,Male,8,412.81,6048,,59.67.121.54,tablet,10,0
14977,459.3124005312254,2024-01-27 15:14:16,online,Stantontown,USD,90407,electronics,chip,7327,29.0,Male,11,715.43,1453,16691.05,215.37.127.197,TAB,7,0
26088,364.829420229356,2024-01-17 19:05:28,in_store,Amandaport,USD,90406,electronics,chip,4858,44.0,Female,10,614.09,11259,19508.97,177.142.103.197,Phone,2,0
2869,775.2819324018697,2024-01-17 05:44:44,online,,USD,22143,electronics,chip,2729,32.0,Male,12,264.89,16085,9037.47,145.36.86.65,mobile,3,0
2859,28.06393370595047,2024-01-26 01:38:30,online,Thompsonshire,EUR,22899,groceries,magnetic_stripe,5772,30.0,FEMALE,10,368.46,15281,11575.01,73.15.245.182,desktop,7,0
346,483.5197032861713,2024-01-01 16:53:10,online,North Ricky,gbp,17572,restaurants,chip,3058,,Male,9,737.65,6771,192.44,68.232.241.63,TAB,4,0
26917,,2024-01-03 21:09:56,in_store,West Ann,USD,83529,groceries,contactless,6895,47.0,Male,12,209.56,10923,15251.1,11.189.200.9,mobile,3,0
26667,43.266496611752515,2024-01-18 15:01:02,online,Racheltown,USD,87356,restaurants,magnetic_stripe,2731,,Female,5,259.99,6397,4697.11,191.107.250.189,mobile,2,0
2642,643.8608737319936,2024-01-25 21:14:24,online,New Andrew,US,90088,restaurants,contactless,2766,42.0,Female,11,148.41,8691,10888.76,129.239.190.191,mobile,3,0
9210,2000.0,2024-01-21 23:35:22,online,,USD,65634,electronics,magnetic_stripe,4280,31.0,Female,7,268.53,5531,,9.247.71.47,desktop,7,1
21789,1000.0,2024-01-21 09:55:17,in_store,Davidport,USD,34296,electronics,contactless,2546,18.0,Male,3,289.75,10298,14576.57,108.200.3.64,mobile,5,1
15268,1113.980230559465,2024-01-04 20:19:14,withdrawal,Ryanside,EUR,90667,electronics,contactless,9130,41.0,Male,10,523.98,4927,2261.44,52.177.167.187,desktop,7,0
22212,1467.751475235948,2024-01-30 10:20:22,online,Cruzside,USD,99378,electronics,magnetic_stripe,6264,45.0,Male,7,353.63,17525,10397.14,111.26.18.73,mobile,2,0
25763,17.679656157065168,2024-01-06 09:24:47,withdrawal,South Christie,USD,27726,travel,chip,4656,28.0,Male,11,498.04,8894,,125.13.216.161,mobile,6,0
14855,198.34112785741377,2024-01-18 20:09:56,in_store,Coleberg,USD,40459,electronics,contactless,2950,43.0,Female,8,317.02,9305,12479.97,148.225.245.71,TAB,4,0
12695,159.19285960939928,2024-01-12 04:12:21,online,Lake Patriciachester,USD,81481,Electronics,chip,9483,38.0,FEMALE,16,602.77,17988,9048.99,145.110.168.77,mobile,3,0
